audit_id,timestamp,user,action,entity_type,entity_id,details
AUD-5033,2026-05-01 00:00:00,R.Kapoor (Compliance Lead),DRIFT_DETECTED,SOP,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5077,2026-05-01 09:00:00,System Monitor,ALERT_TRIGGERED,Step,SOP-LU-001-15,Auto-logged for immutable compliance audit trail.
AUD-5081,2026-05-01 21:00:00,AI Agent,SOP_MUTATION_APPROVED,Risk,SOP-LU-001-6,Auto-logged for immutable compliance audit trail.
AUD-5097,2026-05-02 08:00:00,S.Iyer (Underwriter),TRAINING_MATERIAL_GENERATED,Mutation,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5082,2026-05-02 12:00:00,N.Fernandes (Process Owner),ALERT_TRIGGERED,Risk,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5096,2026-05-03 07:00:00,R.Kapoor (Compliance Lead),SOP_GENERATED,Mutation,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5095,2026-05-04 14:00:00,R.Kapoor (Compliance Lead),SOP_MUTATION_APPROVED,Mutation,SOP-LU-001-9,Auto-logged for immutable compliance audit trail.
AUD-5020,2026-05-04 22:00:00,System Monitor,EXPLANATION_VIEWED,Alert,SOP-LU-001-8,Auto-logged for immutable compliance audit trail.
AUD-5091,2026-05-06 09:00:00,R.Kapoor (Compliance Lead),DASHBOARD_EXPORTED,Step,SOP-LU-001-8,Auto-logged for immutable compliance audit trail.
AUD-5015,2026-05-06 19:00:00,N.Fernandes (Process Owner),SOP_MUTATION_REJECTED,Risk,SOP-LU-001-8,Auto-logged for immutable compliance audit trail.
AUD-5031,2026-05-06 23:00:00,N.Fernandes (Process Owner),SOP_MUTATION_PROPOSED,Alert,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5119,2026-05-08 00:00:00,System Monitor,DASHBOARD_EXPORTED,Step,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5071,2026-05-08 05:00:00,System Monitor,TRAINING_MATERIAL_GENERATED,Step,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5037,2026-05-08 15:00:00,R.Kapoor (Compliance Lead),SOP_GENERATED,Step,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5111,2026-05-09 21:00:00,AI Agent,SOP_MUTATION_REJECTED,Mutation,SOP-LU-001-8,Auto-logged for immutable compliance audit trail.
AUD-5013,2026-05-09 22:00:00,N.Fernandes (Process Owner),MANUAL_REVIEW_COMPLETED,Mutation,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5012,2026-05-10 14:00:00,N.Fernandes (Process Owner),RISK_FLAGGED,Risk,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5043,2026-05-13 01:00:00,AI Agent,DASHBOARD_EXPORTED,Step,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5047,2026-05-14 05:00:00,AI Agent,SOP_MUTATION_PROPOSED,Alert,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5019,2026-05-15 02:00:00,N.Fernandes (Process Owner),TRAINING_MATERIAL_GENERATED,Alert,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5083,2026-05-15 11:00:00,System Monitor,MANUAL_REVIEW_COMPLETED,Step,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5063,2026-05-15 20:00:00,AI Agent,ALERT_TRIGGERED,Mutation,SOP-LU-001-14,Auto-logged for immutable compliance audit trail.
AUD-5118,2026-05-15 21:00:00,N.Fernandes (Process Owner),SOP_MUTATION_APPROVED,Alert,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5049,2026-05-16 04:00:00,AI Agent,RISK_FLAGGED,Mutation,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5017,2026-05-16 07:00:00,S.Iyer (Underwriter),DASHBOARD_EXPORTED,Risk,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5064,2026-05-16 09:00:00,N.Fernandes (Process Owner),SOP_MUTATION_PROPOSED,Step,SOP-LU-001-2,Auto-logged for immutable compliance audit trail.
AUD-5023,2026-05-17 23:00:00,AI Agent,SOP_MUTATION_PROPOSED,Alert,SOP-LU-001-3,Auto-logged for immutable compliance audit trail.
AUD-5114,2026-05-20 00:00:00,N.Fernandes (Process Owner),DASHBOARD_EXPORTED,SOP,SOP-LU-001-11,Auto-logged for immutable compliance audit trail.
AUD-5100,2026-05-20 15:00:00,AI Agent,SOP_MUTATION_REJECTED,Risk,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
AUD-5103,2026-05-21 13:00:00,R.Kapoor (Compliance Lead),ALERT_TRIGGERED,SOP,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5084,2026-05-22 03:00:00,S.Iyer (Underwriter),SOP_GENERATED,Step,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
AUD-5057,2026-05-22 18:00:00,AI Agent,SOP_GENERATED,Alert,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5073,2026-05-23 18:00:00,System Monitor,RISK_FLAGGED,SOP,SOP-LU-001-7,Auto-logged for immutable compliance audit trail.
AUD-5090,2026-05-23 19:00:00,S.Iyer (Underwriter),ALERT_TRIGGERED,Mutation,SOP-LU-001-15,Auto-logged for immutable compliance audit trail.
AUD-5088,2026-05-24 20:00:00,AI Agent,ALERT_TRIGGERED,SOP,SOP-LU-001-6,Auto-logged for immutable compliance audit trail.
AUD-5011,2026-05-26 04:00:00,S.Iyer (Underwriter),ALERT_TRIGGERED,Step,SOP-LU-001-15,Auto-logged for immutable compliance audit trail.
AUD-5099,2026-05-27 00:00:00,System Monitor,SOP_MUTATION_APPROVED,Step,SOP-LU-001-5,Auto-logged for immutable compliance audit trail.
AUD-5058,2026-05-27 12:00:00,R.Kapoor (Compliance Lead),SOP_MUTATION_APPROVED,Risk,SOP-LU-001-10,Auto-logged for immutable compliance audit trail.
AUD-5008,2026-05-28 22:00:00,System Monitor,SOP_MUTATION_APPROVED,Risk,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5045,2026-05-28 23:00:00,S.Iyer (Underwriter),SOP_MUTATION_APPROVED,Mutation,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
AUD-5065,2026-05-29 04:00:00,System Monitor,SOP_GENERATED,SOP,SOP-LU-001-12,Auto-logged for immutable compliance audit trail.
AUD-5028,2026-05-31 17:00:00,N.Fernandes (Process Owner),MANUAL_REVIEW_COMPLETED,Risk,SOP-LU-001-13,Auto-logged for immutable compliance audit trail.
AUD-5102,2026-06-02 04:00:00,System Monitor,DASHBOARD_EXPORTED,Step,SOP-LU-001-4,Auto-logged for immutable compliance audit trail.
