log_id,case_id,sop_id,step_no,step_name,executed_by,timestamp,expected_duration_min,actual_duration_min,deviation_flag,deviation_type,risk_level
1,LN-2026000,SOP-LU-001,1,Application Intake,P.Nair,2026-06-05 20:17:00,10,10,False,None,Low
2,LN-2026000,SOP-LU-001,2,KYC & Identity Verification,K.Menon,2026-06-05 20:54:00,20,18,False,None,High
3,LN-2026000,SOP-LU-001,3,Credit Bureau Pull,N.Bose,2026-06-05 21:12:00,15,14,False,None,Medium
4,LN-2026000,SOP-LU-001,4,Income & Employment Verification,M.Khan,2026-06-05 21:41:00,25,21,False,None,Medium
5,LN-2026000,SOP-LU-001,5,Debt-to-Income Calculation,P.Nair,2026-06-05 21:51:00,10,9,True,Step Skipped,Medium
6,LN-2026000,SOP-LU-001,6,Collateral Valuation,J.Pillai,2026-06-05 22:44:00,45,41,False,None,High
7,LN-2026000,SOP-LU-001,7,Fraud Risk Screening,N.Bose,2026-06-05 23:09:00,15,15,True,Order Swapped,High
8,LN-2026000,SOP-LU-001,8,Automated Credit Scoring,V.Reddy,2026-06-05 23:29:00,5,4,False,None,Medium
9,LN-2026000,SOP-LU-001,9,Manual Underwriting Review,A.Rao,2026-06-06 00:16:00,30,28,False,None,High
10,LN-2026000,SOP-LU-001,10,Conditional Approval Decision,S.Iyer,2026-06-06 00:42:00,15,14,False,None,Medium
11,LN-2026000,SOP-LU-001,11,Document Stipulation Collection,T.Sharma,2026-06-06 01:12:00,20,27,False,None,Low
12,LN-2026000,SOP-LU-001,12,Final Compliance Sign-off,P.Nair,2026-06-06 01:32:00,15,15,False,None,High
13,LN-2026000,SOP-LU-001,13,Final Approval & Booking,T.Sharma,2026-06-06 01:47:00,10,8,False,None,Medium
14,LN-2026000,SOP-LU-001,14,Disbursement Instruction,M.Khan,2026-06-06 02:15:00,10,10,False,None,Medium
15,LN-2026000,SOP-LU-001,15,Post-Disbursement Audit Tagging,T.Sharma,2026-06-06 02:21:00,5,4,False,None,Low
16,LN-2026001,SOP-LU-001,1,Application Intake,N.Bose,2026-06-26 19:26:00,10,11,False,None,Low
17,LN-2026001,SOP-LU-001,2,KYC & Identity Verification,M.Khan,2026-06-26 19:56:00,20,22,False,None,High
18,LN-2026001,SOP-LU-001,3,Credit Bureau Pull,R.Das,2026-06-26 20:29:00,15,18,False,None,Medium
19,LN-2026001,SOP-LU-001,4,Income & Employment Verification,J.Pillai,2026-06-26 21:10:00,25,23,False,None,Medium
20,LN-2026001,SOP-LU-001,5,Debt-to-Income Calculation,T.Sharma,2026-06-26 21:26:00,10,8,False,None,Medium
21,LN-2026001,SOP-LU-001,6,Collateral Valuation,K.Menon,2026-06-26 22:17:00,45,41,False,None,High
22,LN-2026001,SOP-LU-001,7,Fraud Risk Screening,R.Das,2026-06-26 22:39:00,15,18,True,Order Swapped,High
23,LN-2026001,SOP-LU-001,8,Automated Credit Scoring,P.Nair,2026-06-26 23:00:00,5,5,False,None,Medium
24,LN-2026001,SOP-LU-001,9,Manual Underwriting Review,M.Khan,2026-06-26 23:48:00,30,33,False,None,High
25,LN-2026001,SOP-LU-001,10,Conditional Approval Decision,T.Sharma,2026-06-27 00:18:00,15,14,False,None,Medium
26,LN-2026001,SOP-LU-001,11,Document Stipulation Collection,T.Sharma,2026-06-27 00:50:00,20,19,False,None,Low
27,LN-2026001,SOP-LU-001,12,Final Compliance Sign-off,R.Das,2026-06-27 01:19:00,15,16,False,None,High
28,LN-2026001,SOP-LU-001,13,Final Approval & Booking,K.Menon,2026-06-27 01:37:00,10,9,False,None,Medium
29,LN-2026001,SOP-LU-001,14,Disbursement Instruction,S.Iyer,2026-06-27 01:52:00,10,8,False,None,Medium
